Character,Rarity,Class,Archetype,Promotion,HP,Attack,Defense,Magic Res,Cost,Atk Interval,Block,Auto dps Pts,dps/Cost
GreyThroat,5,Sniper,Anti-Air Sniper,E21,1224,420,128,0,13,1,1,420,32
GreyThroat,5,Sniper,Anti-Air Sniper,E230,1323,454,137,0,13,1,1,454,35
GreyThroat,5,Sniper,Anti-Air Sniper,E2M,3235,375,670,5,21,1.2,3,313,15
Meteorite,5,Sniper,AoE Sniper,E01,770,377,59,0,24,2.8,1,135,6
Meteorite,5,Sniper,AoE Sniper,E11,963,539,77,0,26,2.8,1,193,7
Meteorite,5,Sniper,AoE Sniper,E21,1204,674,98,0,28,2.8,1,241,9
Meteorite,5,Sniper,AoE Sniper,E230,1314,744,105,0,28,2.8,1,266,10
MAX,,,,,3850,1085,723,,,3.5,,641,70
Platinum,5,Sniper,Anti-Air Sniper,E01,693,171,58,0,11,1,1,171,16
Platinum,5,Sniper,Anti-Air Sniper,E11,991,285,97,0,13,1,1,285,22
Platinum,5,Sniper,Anti-Air Sniper,E21,1271,414,139,0,13,1,1,414,32
Platinum,5,Sniper,Anti-Air Sniper,E230,1373,447,149,0,13,1,1,447,34
Platinum,5,Sniper,Anti-Air Sniper,E2M,1632,478,105,0,12,1,1,478,40
Provence,5,Sniper,Close Sniper,E01,716,332,81,0,15,1.6,1,208,14
Provence,5,Sniper,Close Sniper,E11,995,456,117,0,17,1.6,1,285,17
Provence,5,Sniper,Close Sniper,E21,1276,601,156,0,19,1.6,1,376,20
Provence,5,Sniper,Close Sniper,E230,1424,667,178,0,19,1.6,1,417,22
Provence,5,Sniper,Close Sniper,E2M,1068,443,130,20,11,1.6,1,277,25
Sesa,5,Sniper,AoE Sniper,E01,847,363,63,0,24,2.8,1,130,5
Sesa,5,Sniper,AoE Sniper,E11,1059,519,82,0,26,2.8,1,185,7
Sesa,5,Sniper,AoE Sniper,E21,1324,649,104,0,28,2.8,1,232,8
Sesa,5,Sniper,AoE Sniper,E230,1446,717,111,0,28,2.8,1,256,9
Sesa,5,Sniper,AoE Sniper,E1M,2620,673,155,0,15,1.5,1,449,30
Ambriel,4,Sniper,Low Defense Sniper,E01,785,437,60,0,18,2.7,1,162,9
Ambriel,4,Sniper,Low Defense Sniper,E11,1020,608,80,0,20,2.7,1,225,11
Ambriel,4,Sniper,Low Defense Sniper,E21,1276,801,100,0,20,2.7,1,297,15
Ambriel,4,Sniper,Low Defense Sniper,E230,1410,875,109,0,20,2.7,1,324,16
Ambriel,4,Sniper,Low Defense Sniper,E2M,1370,465,165,0,12,1,1,465,39
Jessica,4,Sniper,Anti-Air Sniper,E01,604,163,54,0,10,1,1,163,16
Jessica,4,Sniper,Anti-Air Sniper,E11,864,272,91,0,12,1,1,272,23
Jessica,4,Sniper,Anti-Air Sniper,E21,1108,389,130,0,12,1,1,389,32
Jessica,4,Sniper,Anti-Air Sniper,E230,1197,425,140,0,12,1,1,425,35
Jessica,4,Sniper,Anti-Air Sniper,E2M,1505,865,116,0,28,2.8,1,309,11
May,4,Sniper,Anti-Air Sniper,E01,730,163,36,0,10,1,1,163,16
May,4,Sniper,Anti-Air Sniper,E11,1043,273,61,0,12,1,1,273,23
May,4,Sniper,Anti-Air Sniper,E21,1338,391,88,0,12,1,1,391,33
May,4,Sniper,Anti-Air Sniper,E230,1462,428,95,0,12,1,1,428,36
May,4,Sniper,Anti-Air Sniper,E1M,1653,497,282,10,16,1.3,2,382,24
Meteor,4,Sniper,Anti-Air Sniper,E01,612,159,58,0,10,1,1,159,16
Meteor,4,Sniper,Anti-Air Sniper,E11,875,266,97,0,12,1,1,266,22
Meteor,4,Sniper,Anti-Air Sniper,E21,1123,381,139,0,12,1,1,381,32
Meteor,4,Sniper,Anti-Air Sniper,E230,1227,416,150,0,12,1,1,416,35
MIN,,,,,261,42,16,,,0.78,,15,3
Shirayuki,4,Sniper,AoE Sniper,E01,834,347,51,0,23,2.8,1,124,5
Shirayuki,4,Sniper,AoE Sniper,E11,1043,496,66,0,25,2.8,1,177,7
Shirayuki,4,Sniper,AoE Sniper,E21,1304,621,84,0,27,2.8,1,222,8
Shirayuki,4,Sniper,AoE Sniper,E230,1441,695,91,0,27,2.8,1,248,9
Shirayuki,4,Sniper,AoE Sniper,E2M,1731,750,132,20,34,2.9,1,259,8
Vermeil,4,Sniper,Anti-Air Sniper,E01,550,166,57,0,10,1,1,166,17
Vermeil,4,Sniper,Anti-Air Sniper,E11,786,277,95,0,12,1,1,277,23
Vermeil,4,Sniper,Anti-Air Sniper,E21,1008,397,136,0,12,1,1,397,33
Vermeil,4,Sniper,Anti-Air Sniper,E230,1101,434,147,0,12,1,1,434,36
Vermeil,4,Sniper,Anti-Air Sniper,E2M,2345,644,357,15,20,1.25,1,515,26
Adnachiel,3,Sniper,Anti-Air Sniper,E01,531,150,55,0,9,1,1,150,17
Adnachiel,3,Sniper,Anti-Air Sniper,E11,831,251,93,0,11,1,1,251,23
Vermeil,4,Sniper,Anti-Air Sniper,E2M,1420,465,131,0,18,2.85,1,163,9
Catapult,3,Sniper,AoE Sniper,E01,736,340,51,0,21,2.8,1,121,6
Catapult,3,Sniper,AoE Sniper,E11,920,487,67,0,23,2.8,1,174,8
Adnachiel,3,Sniper,Anti-Air Sniper,E2M,1565,520,300,0,10,1.3,1,400,40
Kroos,3,Sniper,Anti-Air Sniper,E01,545,154,52,0,9,1,1,154,17
Kroos,3,Sniper,Anti-Air Sniper,E11,826,258,88,0,11,1,1,258,23
Catapult,3,Sniper,AoE Sniper,E2M,2780,462,575,10,21,1.2,3,385,18
Rangers,2,Sniper,Anti-Air Sniper,E01,546,161,46,0,7,1,1,161,23
Rangers,2,Sniper,Anti-Air Sniper,E0M,780,269,66,0,7,1,1,269,38
Aak,6,Specialist,Aak,E01,865,247,58,10,11,1.3,1,190,17
Aak,6,Specialist,Aak,E11,1236,413,90,10,13,1.3,1,318,24
Aak,6,Specialist,Aak,E21,1627,583,121,10,13,1.3,1,448,34
Aak,6,Specialist,Aak,E230,1760,622,131,10,13,1.3,1,478,37
Aak,6,Specialist,Aak,E2M,3699,619,726,0,23,1.5,3,413,18
Cliffheart,5,Specialist,Puller,E01,852,329,148,0,11,1.8,2,183,17
Cliffheart,5,Specialist,Puller,E11,1152,471,219,0,13,1.8,2,262,20
Cliffheart,5,Specialist,Puller,E21,1497,612,289,0,13,1.8,2,340,26
Cliffheart,5,Specialist,Puller,E230,1671,668,308,0,13,1.8,2,371,29
Cliffheart,5,Specialist,Puller,E2M,1705,350,169,5,18,2.85,1,123,7
FEater,5,Specialist,Pusher,E01,852,279,158,0,18,1.2,2,233,13
FEater,5,Specialist,Pusher,E11,1136,388,240,0,20,1.2,2,323,16
FEater,5,Specialist,Pusher,E21,1439,518,317,0,20,1.2,2,432,22
FEater,5,Specialist,Pusher,E230,1588,563,341,0,20,1.2,2,469,23
FEater,5,Specialist,Pusher,E2M,1510,622,120,20,20,1.6,1,389,19
Manticore,5,Specialist,All-In-Range,E01,777,378,141,10,18,3.5,0,108,6
Manticore,5,Specialist,All-In-Range,E11,1080,511,218,20,20,3.5,0,146,7
Manticore,5,Specialist,All-In-Range,E21,1385,656,284,30,20,3.5,0,187,9
Manticore,5,Specialist,All-In-Range,E230,1475,713,306,30,20,3.5,0,204,10
Manticore,5,Specialist,All-In-Range,E1M,935,378,83,15,12,1.9,1,199,17
Projekt Red,5,Specialist,Fast Redeploy,E01,703,204,135,0,7,0.93,1,219,31
Projekt Red,5,Specialist,Fast Redeploy,E11,938,301,194,0,9,0.93,1,324,36
Projekt Red,5,Specialist,Fast Redeploy,E21,1173,413,253,0,9,0.93,1,444,49
Projekt Red,5,Specialist,Fast Redeploy,E230,1295,456,271,0,9,0.93,1,490,54
Projekt Red,5,Specialist,Fast Redeploy,E2M,1560,320,145,0,16,2.85,1,112,7
Snowsant,5,Specialist,Puller,E01,794,320,155,0,13,1.8,2,178,14
Snowsant,5,Specialist,Puller,E11,1073,458,228,0,15,1.8,2,254,17
Snowsant,5,Specialist,Puller,E21,1394,596,301,0,15,1.8,2,331,22
Snowsant,5,Specialist,Puller,E230,1556,651,321,0,15,1.8,2,362,24
Snowsant,5,Specialist,Puller,E2M,1550,505,165,0,13,1,1,505,39
Waaifu,5,Specialist,Fast Redeploy,E01,680,207,137,0,7,0.93,1,223,32
Waaifu,5,Specialist,Fast Redeploy,E11,907,305,196,0,9,0.93,1,328,36
Waaifu,5,Specialist,Fast Redeploy,E21,1134,418,255,0,9,0.93,1,449,50
Waaifu,5,Specialist,Fast Redeploy,E230,1252,461,273,0,9,0.93,1,496,55
Waaifu,5,Specialist,Fast Redeploy,E1M,1226,445,279,0,10,1,1,445,45
Ethan,4,Specialist,All-In-Range,E01,730,346,139,10,17,3.5,0,99,6
Ethan,4,Specialist,All-In-Range,E11,1014,468,214,20,19,3.5,0,134,7
Ethan,4,Specialist,All-In-Range,E21,1300,601,279,30,19,3.5,0,172,9
Ethan,4,Specialist,All-In-Range,E230,1397,660,303,30,19,3.5,0,189,10
Ethan,4,Specialist,All-In-Range,E1M,1858,495,245,0,19,1.2,2,413,22
Gravel,4,Specialist,Fast Redeploy,E01,663,176,151,0,6,0.93,1,189,32
Gravel,4,Specialist,Fast Redeploy,E11,885,256,216,0,8,0.93,1,275,34
Gravel,4,Specialist,Fast Redeploy,E21,1107,352,281,0,8,0.93,1,378,47
Gravel,4,Specialist,Fast Redeploy,E230,1239,394,304,0,8,0.93,1,424,53
Gravel,4,Specialist,Fast Redeploy,E2M,1605,430,102,25,12,1.6,1,269,22
Rope,4,Specialist,Puller,E01,744,313,142,0,10,1.8,2,174,17
Rope,4,Specialist,Puller,E11,1006,448,209,0,12,1.8,2,249,21
Rope,4,Specialist,Puller,E21,1307,582,276,0,12,1.8,2,323,27
Rope,4,Specialist,Puller,E230,1481,643,297,0,12,1.8,2,357,30
Rope,4,Specialist,Puller,E2M,1505,530,302,0,9,0.93,1,570,63
Shaw,4,Specialist,Pusher,E01,824,252,151,0,17,1.2,2,210,12
Shaw,4,Specialist,Pusher,E11,1099,351,229,0,19,1.2,2,293,15
Shaw,4,Specialist,Pusher,E21,1392,469,302,0,19,1.2,2,391,21
Shaw,4,Specialist,Pusher,E230,1557,516,328,0,19,1.2,2,430,23
Shaw,4,Specialist,Pusher,E2M,1680,781,215,0,19,1.6,1,488,26
Hoshiguma,6,Defender,Tank Defender,E01,1602,221,257,0,19,1.2,3,184,10
Hoshiguma,6,Defender,Tank Defender,E11,2165,284,384,0,21,1.2,3,237,11
Hoshiguma,6,Defender,Tank Defender,E21,2849,356,527,0,23,1.2,3,297,13
Hoshiguma,6,Defender,Tank Defender,E230,3175,380,591,0,23,1.2,3,317,14
Hoshiguma,6,Defender,Tank Defender,E2M,1610,335,150,0,17,2.85,1,118,7
Nian,6,Defender,Tank Defender,E01,1539,295,254,0,19,1.5,3,197,10
Nian,6,Defender,Tank Defender,E11,2080,405,380,0,21,1.5,3,270,13
Nian,6,Defender,Tank Defender,E21,2737,513,529,0,23,1.5,3,342,15
Nian,6,Defender,Tank Defender,E230,3050,548,593,0,23,1.5,3,365,16
Nian,6,Defender,Tank Defender,E2M,1365,430,118,5,19,2.85,1,151,8
Saria,6,Defender,Healer Defender,E01,1309,200,248,10,18,1.2,2,167,9
Saria,6,Defender,Healer Defender,E11,1769,287,365,10,20,1.2,3,239,12
Saria,6,Defender,Healer Defender,E21,2268,388,487,10,22,1.2,3,323,15
Saria,6,Defender,Healer Defender,E230,2555,420,522,10,22,1.2,3,350,16
Saria,6,Defender,Healer Defender,E2M,2215,562,364,0,12,1,1,562,47
Bison,5,Defender,Tank Defender,E01,1475,198,245,0,20,1.2,3,165,8
Bison,5,Defender,Tank Defender,E11,1941,254,367,0,22,1.2,3,212,10
Bison,5,Defender,Tank Defender,E21,2522,318,504,0,24,1.2,3,265,11
Bison,5,Defender,Tank Defender,E230,2865,339,576,0,24,1.2,3,283,12
Bison,5,Defender,Tank Defender,E2M,1720,728,325,0,12,1.8,2,404,34
Croissant,5,Defender,Tank Defender,E01,1503,201,249,0,18,1.2,3,168,9
Croissant,5,Defender,Tank Defender,E11,1978,258,373,0,20,1.2,3,215,11
Croissant,5,Defender,Tank Defender,E21,2569,323,511,0,22,1.2,3,269,12
Croissant,5,Defender,Tank Defender,E230,2918,344,584,0,22,1.2,3,287,13
Croissant,5,Defender,Tank Defender,E2M,3150,485,595,10,22,1.2,3,404,18
Hung,5,Defender,Healer Defender,E01,1172,182,244,10,17,1.2,2,152,9
Hung,5,Defender,Healer Defender,E11,1584,261,359,10,19,1.2,3,218,11
Hung,5,Defender,Healer Defender,E21,2032,353,479,10,21,1.2,3,294,14
Hung,5,Defender,Healer Defender,E230,2322,386,518,10,21,1.2,3,322,15
Hung,5,Defender,Healer Defender,E2M,2430,705,320,0,22,1.2,3,588,27
Liskarm,5,Defender,Tank Defender,E01,1307,219,256,0,18,1.2,3,183,10
Liskarm,5,Defender,Tank Defender,E11,1743,281,383,0,20,1.2,3,234,12
Liskarm,5,Defender,Tank Defender,E21,2324,352,518,0,22,1.2,3,293,13
Liskarm,5,Defender,Tank Defender,E230,2660,379,588,0,22,1.2,3,316,14
Liskarm,5,Defender,Tank Defender,E2M,1835,470,310,0,12,1.05,2,448,37
Nearl,5,Defender,Healer Defender,E01,1154,191,240,10,17,1.2,2,159,9
Nearl,5,Defender,Healer Defender,E11,1560,273,353,10,19,1.2,3,228,12
Nearl,5,Defender,Healer Defender,E21,2001,369,471,10,21,1.2,3,308,15
Nearl,5,Defender,Healer Defender,E230,2287,403,509,10,21,1.2,3,336,16
Nearl,5,Defender,Healer Defender,E2M,1833,840,225,0,20,1.6,1,525,26
Vulcan,5,Defender,NoHeal Defender,E01,1574,344,222,10,31,1.6,2,215,7
Vulcan,5,Defender,NoHeal Defender,E11,2072,479,337,10,33,1.6,3,299,9
Vulcan,5,Defender,NoHeal Defender,E21,2692,639,450,10,35,1.6,3,399,11
Vulcan,5,Defender,NoHeal Defender,E230,3058,705,500,10,35,1.6,3,441,13
Vulcan,5,Defender,NoHeal Defender,E2M,1655,833,123,0,28,2.8,1,298,11
Cuora,4,Defender,Tank Defender,E01,1221,193,249,0,17,1.2,3,161,9
Cuora,4,Defender,Tank Defender,E11,1629,248,372,0,19,1.2,3,207,11
Cuora,4,Defender,Tank Defender,E21,2173,310,503,0,21,1.2,3,258,12
Cuora,4,Defender,Tank Defender,E230,2565,333,582,0,21,1.2,3,278,13
Cuora,4,Defender,Tank Defender,E2M,1785,580,365,0,19,1.2,2,483,25
Dur-nar,4,Defender,Magic Damage Defender,E01,1201,244,220,5,20,1.6,3,153,8
Dur-nar,4,Defender,Magic Damage Defender,E11,1623,349,324,10,22,1.6,3,218,10
Dur-nar,4,Defender,Magic Damage Defender,E21,2165,466,438,15,24,1.6,3,291,12
Dur-nar,4,Defender,Magic Damage Defender,E230,2519,515,484,15,24,1.6,3,322,13
Dur-nar,4,Defender,Magic Damage Defender,E2M,1613,530,138,0,20,2.85,1,186,9
Matterhorn,4,Defender,Tank Defender,E01,1273,198,241,5,17,1.2,3,165,10
Matterhorn,4,Defender,Tank Defender,E11,1698,254,361,5,19,1.2,3,212,11
Matterhorn,4,Defender,Tank Defender,E21,2264,318,489,5,21,1.2,3,265,13
Matterhorn,4,Defender,Tank Defender,E230,2672,342,565,5,21,1.2,3,285,14
Matterhorn,4,Defender,Tank Defender,E2M,1630,797,100,0,27,2.8,1,285,11
Gummy,4,Defender,Healer Defender,E01,1059,179,234,10,16,1.2,2,149,9
Gummy,4,Defender,Healer Defender,E11,1432,257,345,10,18,1.2,3,214,12
Gummy,4,Defender,Healer Defender,E21,1836,348,460,10,20,1.2,3,290,15
Gummy,4,Defender,Healer Defender,E230,2136,385,503,10,20,1.2,3,321,16
Gummy,4,Defender,Healer Defender,E2M,2251,515,384,0,14,1.05,2,490,35
Beagle,3,Defender,Tank Defender,E01,1144,184,242,0,16,1.2,3,153,10
Beagle,3,Defender,Tank Defender,E11,1526,236,362,0,18,1.2,3,197,11
Gummy,4,Defender,Healer Defender,E2M,1595,482,142,0,19,2.85,1,169,9
Cardigan,3,Defender,Tank Defender,E01,1197,190,229,0,16,1.2,3,158,10
Cardigan,3,Defender,Tank Defender,E11,1597,244,342,0,18,1.2,3,203,11
Beagle,3,Defender,Tank Defender,E2M,2560,713,397,10,20,1.3,2,548,27
Spot,3,Defender,Healer Defender,E01,1057,165,225,10,15,1.2,2,138,9
Spot,3,Defender,Healer Defender,E11,1429,236,331,10,17,1.2,3,197,12
Cardigan,3,Defender,Tank Defender,E2M,3665,933,263,0,19,1.5,1,622,33
Noire Corne,2,Defender,Healer Defender,E01,1219,180,220,0,14,1.2,3,150,11
Noire Corne,2,Defender,Healer Defender,E0M,1670,240,315,0,14,1.2,3,200,14
Bagpipe,6,Vanguard,On-Kill Vanguard,E01,975,250,173,0,11,1,1,250,23
Bagpipe,6,Vanguard,On-Kill Vanguard,E11,1355,369,241,0,13,1,1,369,28
Bagpipe,6,Vanguard,On-Kill Vanguard,E21,1738,492,313,0,13,1,1,492,38
Bagpipe,6,Vanguard,On-Kill Vanguard,E230,1981,523,335,0,13,1,1,523,40
Bagpipe,6,Vanguard,On-Kill Vanguard,E2M,1530,715,122,20,33,2.9,1,247,7
Siege,6,Vanguard,SP Regen Vanguard,E01,911,212,154,0,12,1.05,2,202,17
Siege,6,Vanguard,SP Regen Vanguard,E11,1199,308,227,0,14,1.05,2,293,21
Siege,6,Vanguard,SP Regen Vanguard,E21,1643,422,307,0,14,1.05,2,402,29
Siege,6,Vanguard,SP Regen Vanguard,E230,1841,452,332,0,14,1.05,2,430,31
Siege,6,Vanguard,SP Regen Vanguard,E2M,1835,745,355,0,15,1.8,2,414,28
Grani,5,Vanguard,On-Kill Vanguard,E01,877,235,166,0,12,1,1,235,20
Grani,5,Vanguard,On-Kill Vanguard,E11,1219,347,231,0,14,1,1,347,25
Grani,5,Vanguard,On-Kill Vanguard,E21,1564,463,300,0,14,1,1,463,33
Grani,5,Vanguard,On-Kill Vanguard,E230,1810,496,325,0,14,1,1,496,35
Grani,5,Vanguard,On-Kill Vanguard,E2M,1356,335,238,0,7,1,1,335,48
Reed,5,Vanguard,On-Kill Vanguard,E01,870,240,164,0,10,1,1,240,24
Reed,5,Vanguard,On-Kill Vanguard,E11,1209,354,229,0,12,1,1,354,30
Reed,5,Vanguard,On-Kill Vanguard,E21,1550,472,298,0,12,1,1,472,39
Reed,5,Vanguard,On-Kill Vanguard,E230,1794,505,322,0,12,1,1,505,42
Reed,5,Vanguard,On-Kill Vanguard,E2M,2630,725,355,0,23,1.2,3,604,26
Texas,5,Vanguard,SP Regen Vanguard,E01,727,203,139,0,11,1.05,2,193,18
Texas,5,Vanguard,SP Regen Vanguard,E11,996,299,208,0,13,1.05,2,285,22
Texas,5,Vanguard,SP Regen Vanguard,E21,1365,410,274,0,13,1.05,2,390,30
Texas,5,Vanguard,SP Regen Vanguard,E230,1580,443,299,0,13,1.05,2,422,32
Texas,5,Vanguard,SP Regen Vanguard,E1M,1833,320,442,10,17,1.2,3,267,16
Zima,5,Vanguard,SP Regen Vanguard,E01,812,183,147,0,11,1.05,2,174,16
Zima,5,Vanguard,SP Regen Vanguard,E11,1128,274,211,0,13,1.05,2,261,20
Zima,5,Vanguard,SP Regen Vanguard,E21,1505,376,290,0,13,1.05,2,358,28
Zima,5,Vanguard,SP Regen Vanguard,E230,1742,411,312,0,13,1.05,2,391,30
Zima,5,Vanguard,SP Regen Vanguard,E1M,1100,470,90,15,18,1.6,1,294,16
Courier,4,Vanguard,SP Regen Vanguard,E01,758,170,137,0,10,1.05,2,162,16
Courier,4,Vanguard,SP Regen Vanguard,E11,1083,254,196,0,12,1.05,2,242,20
Courier,4,Vanguard,SP Regen Vanguard,E21,1389,348,273,0,12,1.05,2,331,28
Courier,4,Vanguard,SP Regen Vanguard,E230,1639,385,294,0,12,1.05,2,367,31
Courier,4,Vanguard,SP Regen Vanguard,E2M,1345,488,122,0,18,2.85,1,171,10
Myrtle,4,Vanguard,No Block Vanguard,E01,658,231,138,0,8,1.3,1,178,22
Myrtle,4,Vanguard,No Block Vanguard,E11,902,331,193,0,10,1.3,1,255,26
Myrtle,4,Vanguard,No Block Vanguard,E21,1142,436,255,0,10,1.3,1,335,34
Myrtle,4,Vanguard,No Block Vanguard,E230,1320,471,274,0,10,1.3,1,362,36
Myrtle,4,Vanguard,No Block Vanguard,E2M,1740,593,413,0,16,1.05,2,565,35
Scavenger,4,Vanguard,SP Regen Vanguard,E01,693,185,136,0,10,1.05,2,176,18
Scavenger,4,Vanguard,SP Regen Vanguard,E11,937,281,198,0,12,1.05,2,268,22
Scavenger,4,Vanguard,SP Regen Vanguard,E21,1284,385,255,0,12,1.05,2,367,31
Scavenger,4,Vanguard,SP Regen Vanguard,E230,1516,421,278,0,12,1.05,2,401,33
Scavenger,4,Vanguard,SP Regen Vanguard,E2M,1950,500,343,0,13,1.05,2,476,37
Vigna,4,Vanguard,On-Kill Vanguard,E01,724,248,152,0,9,1,1,248,28
Vigna,4,Vanguard,On-Kill Vanguard,E11,1006,355,218,0,11,1,1,355,32
Vigna,4,Vanguard,On-Kill Vanguard,E21,1291,468,287,0,11,1,1,468,43
Vigna,4,Vanguard,On-Kill Vanguard,E230,1524,506,314,0,11,1,1,506,46
Vigna,4,Vanguard,On-Kill Vanguard,E2M,3444,693,312,0,24,1.2,1,578,24
Fang,3,Vanguard,SP Regen Vanguard,E01,742,157,130,0,9,1.05,2,150,17
Fang,3,Vanguard,SP Regen Vanguard,E11,1060,235,187,0,11,1.05,2,224,20
Vigna,4,Vanguard,On-Kill Vanguard,E2M,1230,485,162,0,12,1,1,485,40
Plume,3,Vanguard,On-Kill Vanguard,E01,688,229,148,0,8,1,1,229,29
Plume,3,Vanguard,On-Kill Vanguard,E11,956,333,212,0,10,1,1,333,33
Fang,3,Vanguard,SP Regen Vanguard,E2M,1845,558,351,0,11,1,1,558,51
Fang,3,Vanguard,SP Regen Vanguard,E01,711,168,128,0,9,1.05,2,160,18
Fang,3,Vanguard,SP Regen Vanguard,E11,1016,248,184,0,11,1.05,2,236,21
Plume,3,Vanguard,On-Kill Vanguard,E2M,3688,820,585,10,35,1.6,3,513,15
Yato,2,Vanguard,SP Regen Vanguard,E01,721,150,134,0,7,1.05,2,143,20
Yato,2,Vanguard,SP Regen Vanguard,E0M,1030,232,192,0,7,1.05,2,221,32
Fang,3,Vanguard,SP Regen Vanguard,E2M,1455,536,304,0,9,0.93,1,576,64
Plume,3,Vanguard,On-Kill Vanguard,E2M,1520,505,125,0,19,2.85,1,177,9
Yato,2,Vanguard,SP Regen Vanguard,E2M,2150,470,350,0,13,1.05,2,448,34
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Last Characters,Bagpipe,,,,,,,,,
,,,,Sesa,,,,,,,,,
,,,,Utage,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
